Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,2.6931368512729526e7,2.6931368512729526e7
t1,0.0,0.0,0.0,199.194478933613,199.194478933613
t2,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t3,0.0,0.0,0.0,1128.2408485879723,1128.2408485879723
t4,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t5,0.0,0.0,0.0,394.75599647402504,394.75599647402504
t6,0.0,0.0,0.0,8055.9811307079235,8055.9811307079235
t7,0.0,0.0,0.0,1624.380172253856,1624.380172253856
t8,0.0,0.0,0.0,7369.092960268894,7369.092960268894
t9,0.0,0.0,0.0,3044.0611051072165,3044.0611051072165
t10,0.0,0.0,0.0,4727.164759749013,4727.164759749013
t11,0.0,0.0,0.0,6745.7271101866045,6745.7271101866045
t12,0.0,0.0,0.0,7787.258584755922,7787.258584755922
t13,0.0,0.0,0.0,7343.246781792429,7343.246781792429
t14,0.0,0.0,0.0,7026.7361762310275,7026.7361762310275
t15,0.0,0.0,0.0,5666.695678381646,5666.695678381646
t16,0.0,0.0,0.0,3078.6228934400965,3078.6228934400965
t17,0.0,0.0,0.0,468.82067341105136,468.82067341105136
t18,0.0,0.0,0.0,-0.0,0.0
t19,0.0,0.0,0.0,1606.1631356795976,1606.1631356795976
t20,0.0,0.0,0.0,7828.663671960828,7828.663671960828
t21,0.0,0.0,0.0,1071.6241206224008,1071.6241206224008
t22,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t23,0.0,0.0,0.0,389.81639986258165,389.81639986258165
t24,0.0,0.0,0.0,8113.022000441354,8113.022000441354
t25,0.0,0.0,0.0,1576.1007801114797,1576.1007801114797
t26,0.0,0.0,0.0,8422.83010305661,8422.83010305661
t27,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t29,0.0,0.0,0.0,4284.4302104072285,4284.4302104072285
t30,0.0,0.0,0.0,1829.0297163465166,1829.0297163465166
t31,0.0,0.0,0.0,7095.552956958305,7095.552956958305
t32,0.0,0.0,0.0,2236.605470926579,2236.605470926579
t33,0.0,0.0,0.0,6549.899730692786,6549.899730692786
t34,0.0,0.0,0.0,2899.1274692266684,2899.1274692266684
t35,0.0,0.0,0.0,5989.141111331591,5989.141111331591
t36,0.0,0.0,0.0,5842.223090336718,5842.223090336718
t37,0.0,0.0,0.0,5941.725613433987,5941.725613433987
t38,0.0,0.0,0.0,5537.212826890201,5537.212826890201
t39,0.0,0.0,0.0,4453.181309556522,4453.181309556522
t40,0.0,0.0,0.0,3584.2875650492515,3584.2875650492515
t41,0.0,0.0,0.0,-0.0,0.0
t42,0.0,0.0,0.0,7209.353992079837,7209.353992079837
t43,0.0,0.0,0.0,6269.904427816924,6269.904427816924
t44,0.0,0.0,0.0,3919.371404703024,3919.371404703024
t45,0.0,0.0,0.0,413.4116877939231,413.4116877939231
t46,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t47,0.0,0.0,0.0,5085.512350678968,5085.512350678968
t48,0.0,0.0,0.0,-0.0,0.0
t49,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t50,0.0,0.0,0.0,2148.5959732603897,2148.5959732603897
t51,0.0,0.0,0.0,5772.63405181444,5772.63405181444
t52,0.0,0.0,0.0,3557.005139829301,3557.005139829301
t53,0.0,0.0,0.0,5432.313450933522,5432.313450933522
t54,0.0,0.0,0.0,5773.322579296469,5773.322579296469
t55,0.0,0.0,0.0,5144.1024632412455,5144.1024632412455
t56,0.0,0.0,0.0,1752.488928393876,1752.488928393876
t57,0.0,0.0,0.0,5780.211144341948,5780.211144341948
t58,0.0,0.0,0.0,3717.139142115684,3717.139142115684
t59,0.0,0.0,0.0,5130.228777996664,5130.228777996664
t60,0.0,0.0,0.0,5916.751571400804,5916.751571400804
t61,0.0,0.0,0.0,6144.757173532027,6144.757173532027
t62,0.0,0.0,0.0,5789.746739028068,5789.746739028068
t63,0.0,0.0,0.0,4764.716675682645,4764.716675682645
t64,0.0,0.0,0.0,7040.93456224712,7040.93456224712
t65,0.0,0.0,0.0,-0.0,0.0
t66,0.0,0.0,0.0,-0.0,0.0
t67,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t68,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t69,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t70,0.0,0.0,0.0,810.2434653872375,810.2434653872375
t71,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t72,0.0,0.0,0.0,-0.0,0.0
t73,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t74,0.0,0.0,0.0,5899.171698404975,5899.171698404975
t75,0.0,0.0,0.0,-0.0,0.0
t76,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t77,0.0,0.0,0.0,144.41008846485806,144.41008846485806
t78,0.0,0.0,0.0,8320.733902408387,8320.733902408387
t79,0.0,0.0,0.0,5736.889767024391,5736.889767024391
t80,0.0,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,7693.625363022832,7693.625363022832
t82,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t83,0.0,0.0,0.0,7179.363539120324,7179.363539120324
t84,0.0,0.0,0.0,7328.585721727422,7328.585721727422
t85,0.0,0.0,0.0,6714.757741557287,6714.757741557287
t86,0.0,0.0,0.0,6157.193815065295,6157.193815065295
t87,0.0,0.0,0.0,193.15153343398134,193.15153343398134
t88,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,399.8015230907621,399.8015230907621
t94,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,17.82149862241944,17.82149862241944
t96,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,4055.802147516106,4055.802147516106
t99,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,1568.390858559166,1568.390858559166
t101,0.0,0.0,0.0,1514.9653641499513,1514.9653641499513
t102,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,4081.8433145207696,4081.8433145207696
t108,0.0,0.0,0.0,8165.19250130456,8165.19250130456
t109,0.0,0.0,0.0,7468.895673588421,7468.895673588421
t110,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t111,0.0,0.0,0.0,8267.89963314125,8267.89963314125
t112,0.0,0.0,0.0,5133.57393114978,5133.57393114978
t113,0.0,0.0,0.0,2314.3617915070545,2314.3617915070545
t114,0.0,0.0,0.0,6830.961650092861,6830.961650092861
t115,0.0,0.0,0.0,4572.661720799959,4572.661720799959
t116,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,8172.9318847779095,8172.9318847779095
t131,0.0,0.0,0.0,7585.948297591058,7585.948297591058
t132,0.0,0.0,0.0,7292.805329574729,7292.805329574729
t133,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t134,0.0,0.0,0.0,7410.517479246887,7410.517479246887
t135,0.0,0.0,0.0,4870.912943286046,4870.912943286046
t136,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,832.9927903602794,832.9927903602794
t145,0.0,0.0,0.0,459.4689749601617,459.4689749601617
t146,0.0,0.0,0.0,3342.5446560169157,3342.5446560169157
t147,0.0,0.0,0.0,5564.890021188475,5564.890021188475
t148,0.0,0.0,0.0,4749.881858688598,4749.881858688598
t149,0.0,0.0,0.0,573.6395621482516,573.6395621482516
t150,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,6020.834320763879,6020.834320763879
t155,0.0,0.0,0.0,5640.215563809272,5640.215563809272
t156,0.0,0.0,0.0,7056.754393848594,7056.754393848594
t157,0.0,0.0,0.0,7357.7594400431335,7357.7594400431335
t158,0.0,0.0,0.0,7208.251186521558,7208.251186521558
t159,0.0,0.0,0.0,5479.199099530485,5479.199099530485
t160,0.0,0.0,0.0,2257.1091660803795,2257.1091660803795
t161,0.0,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,-0.0,0.0
t163,0.0,0.0,0.0,6267.942310138401,6267.942310138401
t164,0.0,0.0,0.0,6272.063925080665,6272.063925080665
t165,0.0,0.0,0.0,-0.0,0.0
t166,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t167,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t168,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t169,0.0,0.0,0.0,5275.022561114832,5275.022561114832
t170,0.0,0.0,0.0,-0.0,0.0
t171,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t172,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t173,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t174,0.0,0.0,0.0,5942.572143260866,5942.572143260866
t175,0.0,0.0,0.0,-0.0,0.0
t176,0.0,0.0,0.0,6112.754476186835,6112.754476186835
t177,0.0,0.0,0.0,3269.127212640505,3269.127212640505
t178,0.0,0.0,0.0,6027.2131690050865,6027.2131690050865
t179,0.0,0.0,0.0,2990.2895345401707,2990.2895345401707
t180,0.0,0.0,0.0,6531.4870651475885,6531.4870651475885
t181,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t182,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t183,0.0,0.0,0.0,8415.775690500119,8415.775690500119
t184,0.0,0.0,0.0,6145.710688672177,6145.710688672177
t185,0.0,0.0,0.0,4572.661720799959,4572.661720799959
t186,0.0,0.0,0.0,2574.3132882804575,2574.3132882804575
t187,0.0,0.0,0.0,1590.2579913543464,1590.2579913543464
t188,0.0,0.0,0.0,503.4596961788482,503.4596961788482
t189,0.0,0.0,0.0,717.7073908160007,717.7073908160007
t190,0.0,0.0,0.0,4013.6513035082826,4013.6513035082826
t191,0.0,0.0,0.0,2640.647841380053,2640.647841380053
t192,0.0,0.0,0.0,7732.834654799253,7732.834654799253
t193,0.0,0.0,0.0,404.06947017355674,404.06947017355674
t194,0.0,0.0,0.0,8069.863694561254,8069.863694561254
t195,0.0,0.0,0.0,1612.6299702083963,1612.6299702083963
t196,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t197,0.0,0.0,0.0,815.3181874986801,815.3181874986801
t198,0.0,0.0,0.0,6869.468148660473,6869.468148660473
t199,0.0,0.0,0.0,3655.3117808081765,3655.3117808081765
t200,0.0,0.0,0.0,4322.439689459643,4322.439689459643
t201,0.0,0.0,0.0,4968.441522250106,4968.441522250106
t202,0.0,0.0,0.0,4053.681822728847,4053.681822728847
t203,0.0,0.0,0.0,7683.288006635938,7683.288006635938
t204,0.0,0.0,0.0,7306.276545787328,7306.276545787328
t205,0.0,0.0,0.0,8176.798013496294,8176.798013496294
t206,0.0,0.0,0.0,5248.227940463707,5248.227940463707
t207,0.0,0.0,0.0,7966.28544077431,7966.28544077431
t208,0.0,0.0,0.0,5683.219498130438,5683.219498130438
t209,0.0,0.0,0.0,2429.1326864786474,2429.1326864786474
t210,0.0,0.0,0.0,0.0,0.0
t211,0.0,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,5474.453919330406,5474.453919330406
t213,0.0,0.0,0.0,4374.614544009413,4374.614544009413
t214,0.0,0.0,0.0,5155.4160571248585,5155.4160571248585
t215,0.0,0.0,0.0,5439.856848291365,5439.856848291365
t216,0.0,0.0,0.0,6276.6839450855305,6276.6839450855305
t217,0.0,0.0,0.0,4180.973075568305,4180.973075568305
t218,0.0,0.0,0.0,4311.589454485442,4311.589454485442
t219,0.0,0.0,0.0,7104.395526541856,7104.395526541856
t220,0.0,0.0,0.0,5972.931019368589,5972.931019368589
t221,0.0,0.0,0.0,6390.670925211968,6390.670925211968
t222,0.0,0.0,0.0,3070.0441304581805,3070.0441304581805
t223,0.0,0.0,0.0,0.0,0.0
t224,0.0,0.0,0.0,0.0,0.0
t225,0.0,0.0,0.0,2594.215259527342,2594.215259527342
t226,0.0,0.0,0.0,5625.202050271359,5625.202050271359
t227,0.0,0.0,0.0,6624.261706554238,6624.261706554238
t228,0.0,0.0,0.0,7083.772696994884,7083.772696994884
t229,0.0,0.0,0.0,7179.772183822558,7179.772183822558
t230,0.0,0.0,0.0,7115.26871990936,7115.26871990936
t231,0.0,0.0,0.0,4677.69777383531,4677.69777383531
t232,0.0,0.0,0.0,2767.14337756877,2767.14337756877
t233,0.0,0.0,0.0,-0.0,0.0
t234,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t235,0.0,0.0,0.0,-0.0,0.0
t236,0.0,0.0,0.0,354.94370760881645,354.94370760881645
t237,0.0,0.0,0.0,6415.930440727961,6415.930440727961
t238,0.0,0.0,0.0,3012.5190762528964,3012.5190762528964
t239,0.0,0.0,0.0,7656.64020042523,7656.64020042523
t240,0.0,0.0,0.0,1256.4153082924765,1256.4153082924765
t241,0.0,0.0,0.0,6322.025966418298,6322.025966418298
t242,0.0,0.0,0.0,7155.328584045371,7155.328584045371
t243,0.0,0.0,0.0,7942.353086390104,7942.353086390104
t244,0.0,0.0,0.0,5113.181721008158,5113.181721008158
t245,0.0,0.0,0.0,0.0,0.0
t246,0.0,0.0,0.0,6677.702088463555,6677.702088463555
t247,0.0,0.0,0.0,4166.599844860344,4166.599844860344
t248,0.0,0.0,0.0,0.0,0.0
t249,0.0,0.0,0.0,4852.480776653126,4852.480776653126
t250,0.0,0.0,0.0,4335.822871925837,4335.822871925837
t251,0.0,0.0,0.0,5959.233610369398,5959.233610369398
t252,0.0,0.0,0.0,4413.1884512047245,4413.1884512047245
t253,0.0,0.0,0.0,5226.208721511595,5226.208721511595
t254,0.0,0.0,0.0,6368.739298029343,6368.739298029343
t255,0.0,0.0,0.0,6137.229676048234,6137.229676048234
t256,0.0,0.0,0.0,4682.18635575106,4682.18635575106
t257,0.0,0.0,0.0,2509.3032431513375,2509.3032431513375
t258,0.0,0.0,0.0,-0.0,0.0
t259,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t260,0.0,0.0,0.0,-0.0,0.0
t261,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t262,0.0,0.0,0.0,5275.022561114832,5275.022561114832
t263,0.0,0.0,0.0,-0.0,0.0
t264,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t265,0.0,0.0,0.0,1296.8390555573824,1296.8390555573824
t266,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t267,0.0,0.0,0.0,199.194478933613,199.194478933613
t268,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t269,0.0,0.0,0.0,1128.2408485879723,1128.2408485879723
t270,0.0,0.0,0.0,7689.9998036343795,7689.9998036343795
t271,0.0,0.0,0.0,5538.009660676274,5538.009660676274
t272,0.0,0.0,0.0,2776.5698866823795,2776.5698866823795
t273,0.0,0.0,0.0,3727.630047781135,3727.630047781135
t274,0.0,0.0,0.0,4826.318518283729,4826.318518283729
t275,0.0,0.0,0.0,4489.191230888155,4489.191230888155
t276,0.0,0.0,0.0,5962.233097197073,5962.233097197073
t277,0.0,0.0,0.0,5364.214067056656,5364.214067056656
t278,0.0,0.0,0.0,6465.243317879229,6465.243317879229
t279,0.0,0.0,0.0,6764.749433182778,6764.749433182778
t280,0.0,0.0,0.0,5168.201665392114,5168.201665392114
t281,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t282,0.0,0.0,0.0,4328.141647292565,4328.141647292565
t283,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t284,0.0,0.0,0.0,736.3002478755352,736.3002478755352
t285,0.0,0.0,0.0,6852.45975806664,6852.45975806664
t286,0.0,0.0,0.0,6129.2251564577,6129.2251564577
t287,0.0,0.0,0.0,4572.661720799959,4572.661720799959
t288,0.0,0.0,0.0,0.0,0.0
t289,0.0,0.0,0.0,0.0,0.0
t290,0.0,0.0,0.0,0.0,0.0
t291,0.0,0.0,0.0,0.0,0.0
t292,0.0,0.0,0.0,0.0,0.0
t293,0.0,0.0,0.0,0.0,0.0
t294,0.0,0.0,0.0,0.0,0.0
t295,0.0,0.0,0.0,0.0,0.0
t296,0.0,0.0,0.0,0.0,0.0
t297,0.0,0.0,0.0,0.0,0.0
t298,0.0,0.0,0.0,0.0,0.0
t299,0.0,0.0,0.0,0.0,0.0
t300,0.0,0.0,0.0,194.69876995820636,194.69876995820636
t301,0.0,0.0,0.0,73.29178341103848,73.29178341103848
t302,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t303,0.0,0.0,0.0,7939.624784493231,7939.624784493231
t304,0.0,0.0,0.0,2559.2064967417596,2559.2064967417596
t305,0.0,0.0,0.0,3757.0897656127863,3757.0897656127863
t306,0.0,0.0,0.0,0.0,0.0
t307,0.0,0.0,0.0,2948.206975330729,2948.206975330729
t308,0.0,0.0,0.0,1727.6333616451218,1727.6333616451218
t309,0.0,0.0,0.0,0.0,0.0
t310,0.0,0.0,0.0,0.0,0.0
t311,0.0,0.0,0.0,0.0,0.0
t312,0.0,0.0,0.0,0.0,0.0
t313,0.0,0.0,0.0,5322.597798894804,5322.597798894804
t314,0.0,0.0,0.0,3937.915824300482,3937.915824300482
t315,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t316,0.0,0.0,0.0,3469.8601078609704,3469.8601078609704
t317,0.0,0.0,0.0,-0.0,0.0
t318,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t319,0.0,0.0,0.0,1296.8390555573822,1296.8390555573822
t320,0.0,0.0,0.0,7345.318024661275,7345.318024661275
t321,0.0,0.0,0.0,3407.53499697899,3407.53499697899
t322,0.0,0.0,0.0,4377.175408074775,4377.175408074775
t323,0.0,0.0,0.0,5437.210175499851,5437.210175499851
t324,0.0,0.0,0.0,5883.723004807998,5883.723004807998
t325,0.0,0.0,0.0,6238.231044507768,6238.231044507768
t326,0.0,0.0,0.0,6151.725185790382,6151.725185790382
t327,0.0,0.0,0.0,6134.222192285148,6134.222192285148
t328,0.0,0.0,0.0,4648.179427924661,4648.179427924661
t329,0.0,0.0,0.0,1995.1087812011342,1995.1087812011342
t330,0.0,0.0,0.0,-0.0,0.0
t331,0.0,0.0,0.0,7231.695913424964,7231.695913424964
t332,0.0,0.0,0.0,-0.0,0.0
t333,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t334,0.0,0.0,0.0,5275.022561114832,5275.022561114832
t335,0.0,0.0,0.0,-0.0,0.0
t336,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t337,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t338,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t339,0.0,0.0,0.0,937.4265303174641,937.4265303174641
t340,0.0,0.0,0.0,-0.0,0.0
t341,0.0,0.0,0.0,8442.962601285042,8442.962601285042
t342,0.0,0.0,0.0,1062.0082444702084,1062.0082444702084
t343,0.0,0.0,0.0,7544.078823165459,7544.078823165459
t344,0.0,0.0,0.0,3943.601732632575,3943.601732632575
t345,0.0,0.0,0.0,3219.1506475100527,3219.1506475100527
t346,0.0,0.0,0.0,5718.273493232534,5718.273493232534
t347,0.0,0.0,0.0,7341.76807844395,7341.76807844395
t348,0.0,0.0,0.0,7283.765982990286,7283.765982990286
t349,0.0,0.0,0.0,6628.7933931531325,6628.7933931531325
t350,0.0,0.0,0.0,8092.785740124832,8092.785740124832
