Datetime,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec
1/1/22 0:00,0.197858979,0.181220974,0.233262712,0.415362865,0.711771694,0.599493454,0.6102772,0.513497441,0.440371374,0.326618794,0.249256211,0.287458091
1/1/22 1:00,0.181584014,0.164468057,0.204918305,0.364897363,0.640852832,0.523834255,0.504122436,0.414785241,0.371462762,0.268593881,0.212934031,0.256962514
1/1/22 2:00,0.170457287,0.157941641,0.192568684,0.349060296,0.600534902,0.504999154,0.45171615,0.347038648,0.331423987,0.244941229,0.186750041,0.236145466
1/1/22 3:00,0.174507232,0.154803255,0.190080812,0.342113573,0.593041542,0.4837966,0.413952425,0.324630554,0.313931892,0.231061531,0.180842434,0.236846616
1/1/22 4:00,0.181610164,0.163392208,0.19914112,0.370865418,0.615978534,0.489519251,0.398534938,0.319141621,0.308357271,0.222377002,0.179825813,0.255254016
1/1/22 5:00,0.209172024,0.212218477,0.263324493,0.463880175,0.712478385,0.513167651,0.409723252,0.349902034,0.323517087,0.239041786,0.224332992,0.311634445
1/1/22 6:00,0.267414102,0.300004119,0.342803324,0.591779467,0.744797306,0.536795145,0.450495515,0.424392041,0.387725683,0.30504238,0.304678055,0.407226009
1/1/22 7:00,0.296839133,0.280190087,0.344307187,0.523583585,0.54883072,0.423047651,0.442209375,0.427563217,0.407810075,0.399488352,0.340307813,0.44718267
1/1/22 8:00,0.23602457,0.186478364,0.260016614,0.365295234,0.390288288,0.281815753,0.320095183,0.323739827,0.311867509,0.340233246,0.27103351,0.335966117
1/1/22 9:00,0.172591762,0.135601446,0.212146747,0.294364564,0.295323661,0.216917229,0.250787401,0.240757596,0.214416053,0.234052412,0.19902954,0.280806043
1/1/22 10:00,0.148197293,0.108940027,0.168497598,0.252615623,0.236113936,0.192119073,0.246431607,0.221945057,0.178045102,0.171143309,0.15080409,0.23865718
1/1/22 11:00,0.141718688,0.096853081,0.149819995,0.224705251,0.211873222,0.17907979,0.247758605,0.232750375,0.179589449,0.135723783,0.123355328,0.213389162
1/1/22 12:00,0.141064943,0.088715865,0.145757091,0.219674707,0.21457205,0.206977062,0.265065291,0.251259787,0.200245092,0.127359378,0.111019796,0.206901308
1/1/22 13:00,0.141996529,0.092989538,0.13991183,0.210043502,0.235023438,0.253134556,0.331698817,0.32027485,0.246169721,0.131617038,0.107729787,0.208303608
1/1/22 14:00,0.147726598,0.093655256,0.144674062,0.210468811,0.29633496,0.333575697,0.421509222,0.420470041,0.305642845,0.163268238,0.118768527,0.220675795
1/1/22 15:00,0.175170783,0.107837431,0.159904539,0.234706887,0.344578794,0.436938799,0.540169168,0.523817755,0.383979065,0.2051177,0.193958443,0.30973069
1/1/22 16:00,0.296979688,0.199183477,0.189743526,0.277224129,0.436223192,0.544613489,0.662359334,0.636734961,0.479925571,0.273112215,0.34808056,0.475042279
1/1/22 17:00,0.411947159,0.359467019,0.282231079,0.358119849,0.582672682,0.675868637,0.787861929,0.77897156,0.637795669,0.43421275,0.511036071,0.584177571
1/1/22 18:00,0.428856255,0.421340176,0.428931952,0.599686568,0.867176663,0.893188281,0.938825663,0.935333886,0.826733934,0.662319986,0.573398153,0.596190308
1/1/22 19:00,0.40228155,0.397415928,0.504301463,0.764322551,1,1,1,1,0.921990999,0.701777659,0.531860787,0.55922019
1/1/22 20:00,0.361827853,0.34652415,0.487273158,0.795685706,1,1,1,1,0.894271543,0.663376398,0.480473407,0.520204312
1/1/22 21:00,0.303546549,0.303365402,0.430287285,0.735067651,1,1,1,0.976036871,0.797584382,0.601290474,0.414393054,0.441276149
1/1/22 22:00,0.244703026,0.247373747,0.356662997,0.615688271,1,0.907617724,0.958614139,0.813364836,0.658994985,0.516933007,0.344754529,0.373016113
1/1/22 23:00,0.219095862,0.216560505,0.291820524,0.496354622,0.83150096,0.731166695,0.733753845,0.638637667,0.531409061,0.396840463,0.290621472,0.311319371
1/2/22 0:00,0.197858981,0.181220976,0.233262714,0.415362868,0.711771699,0.59949345,0.610277204,0.513497441,0.440371372,0.326618796,0.24925621,0.287458091